date,age_range,sex,cases_confirmed,hospitalized,icu,deceases
2020-04-07,90 y +,men,1386,896,8,408
2020-04-07,Total,men,43212,25563,2459,3151
2020-04-08,0-9,both,287,81,6,1
2020-04-08,10-19,both,553,111,5,1
2020-04-08,20-29,both,5113,804,50,9
2020-04-08,30-39,both,9819,2129,143,23
2020-04-08,40-49,both,15256,4749,369,53
2020-04-08,50-59,both,18790,7666,764,186
2020-04-08,60-69,both,16973,10020,1276,527
2020-04-08,70-79,both,16257,12157,1263,1603
2020-04-08,80-89,both,13068,8911,126,2515
2020-04-08,90 y +,both,4339,2236,12,986
2020-04-08,Total,both,100455,48864,4014,5904
2020-04-08,0-9,women,139,34,2,1
2020-04-08,10-19,women,289,58,1,1
2020-04-08,20-29,women,3267,402,20,3
2020-04-08,30-39,women,5841,986,48,8
2020-04-08,40-49,women,8334,1884,105,19
2020-04-08,50-59,women,10008,3030,223,56
2020-04-08,60-69,women,7797,3959,356,153
2020-04-08,70-79,women,6765,4746,366,455
2020-04-08,80-89,women,6557,3957,50,1007
2020-04-08,90 y +,women,2743,1241,4,526
2020-04-08,Total,women,51740,20297,1175,2229
2020-04-08,0-9,men,148,47,4,0
2020-04-08,10-19,men,264,53,4,0
2020-04-08,20-29,men,1840,398,30,6
2020-04-08,30-39,men,3976,1142,95,15
2020-04-08,40-49,men,6920,2865,264,34
2020-04-08,50-59,men,8775,4635,541,130
2020-04-08,60-69,men,9172,6059,920,374
2020-04-08,70-79,men,9486,7409,896,1148
2020-04-08,80-89,men,6509,4953,76,1508
2020-04-08,90 y +,men,1594,995,8,460
2020-04-08,Total,men,48684,28556,2838,3675
2020-04-09,0-9,both,285,87,7,1
2020-04-09,10-19,both,588,118,5,1
2020-04-09,20-29,both,5381,828,53,11
2020-04-09,30-39,both,10341,2204,160,24
2020-04-09,40-49,both,16088,4964,402,61
2020-04-09,50-59,both,19836,8006,877,197
2020-04-09,60-69,both,17713,10377,1456,597
2020-04-09,70-79,both,16957,12588,1457,1773
2020-04-09,80-89,both,14218,9523,150,2864
2020-04-09,90 y +,both,5040,2527,17,1200
2020-04-09,Total,both,106447,51222,4584,6729
2020-04-09,0-9,women,138,37,2,1
2020-04-09,10-19,women,307,63,1,1
2020-04-09,20-29,women,3458,417,22,3
2020-04-09,30-39,women,6199,1039,61,9
2020-04-09,40-49,women,8869,1995,116,20
2020-04-09,50-59,women,10658,3172,245,60
2020-04-09,60-69,women,8167,4093,419,174
2020-04-09,70-79,women,7100,4934,420,513
2020-04-09,80-89,women,7279,4296,64,1193
2020-04-09,90 y +,women,3275,1423,6,678
2020-04-09,Total,women,55450,21469,1356,2652
2020-04-09,0-9,men,146,50,5,0
2020-04-09,10-19,men,281,55,4,0
2020-04-09,20-29,men,1918,407,31,8
2020-04-09,30-39,men,4141,1164,99,15
2020-04-09,40-49,men,7217,2969,286,41
2020-04-09,50-59,men,9175,4833,632,137
2020-04-09,60-69,men,9542,6283,1037,422
2020-04-09,70-79,men,9855,7653,1037,1263
2020-04-09,80-89,men,6938,5226,86,1684
2020-04-09,90 y +,men,1764,1104,11,534
2020-04-09,Total,men,50977,29744,3228,4104
2020-04-10,0-9,both,288,88,7,1
2020-04-10,10-19,both,593,119,5,1
2020-04-10,20-29,both,5477,835,53,11
2020-04-10,30-39,both,10518,2222,162,24
2020-04-10,40-49,both,16451,5026,399,66
2020-04-10,50-59,both,20342,8152,890,206
2020-04-10,60-69,both,18095,10564,1462,624
2020-04-10,70-79,both,17297,12824,1464,1848
2020-04-10,80-89,both,14739,9784,150,3035
2020-04-10,90 y +,both,5346,2610,17,1290
2020-04-10,Total,both,109146,52224,4609,7106
2020-04-10,0-9,women,142,36,2,1
2020-04-10,10-19,women,304,62,1,1
2020-04-10,20-29,women,3531,420,22,3
2020-04-10,30-39,women,6307,1042,60,9
2020-04-10,40-49,women,9107,2007,112,22
2020-04-10,50-59,women,10963,3236,244,61
2020-04-10,60-69,women,8354,4164,415,179
2020-04-10,70-79,women,7230,5018,420,530
2020-04-10,80-89,women,7566,4407,65,1257
2020-04-10,90 y +,women,3472,1468,7,718
2020-04-10,Total,women,56976,21860,1348,2781
